month,day,season,transexp,distance,servtime,age,childen,bmi,absenttime,Year
2,4,2,179,51,18,38,0,31,2,2010
2,5,2,179,51,18,38,0,31,8,2010
2,6,2,179,51,18,38,0,31,2,2010
2,2,2,155,12,14,34,2,25,5,2010
2,2,2,235,16,8,32,0,25,3,2010
2,2,2,179,51,18,38,0,31,2,2010
2,2,2,225,26,9,28,1,24,2,2010
2,3,2,179,51,18,38,0,31,2,2010
2,3,2,248,25,14,47,2,32,2,2010
2,3,2,225,26,9,28,1,24,2,2010
2,4,2,179,51,18,38,0,31,2,2010
2,5,2,179,51,18,38,0,31,2,2010
2,6,2,235,16,8,32,0,25,2,2010
3,2,2,179,51,18,38,0,31,2,2010
3,2,2,248,25,14,47,2,32,2,2010
3,3,2,228,14,16,58,2,22,3,2010
3,3,2,248,25,14,47,2,32,3,2010
3,3,2,228,14,16,58,2,22,112,2010
3,4,2,179,51,18,38,0,31,2,2010
3,5,2,225,26,9,28,1,24,2,2010
3,5,2,179,51,18,38,0,31,3,2010
3,5,2,225,26,9,28,1,24,2,2010
3,6,2,179,26,9,30,0,19,3,2010
3,2,2,235,16,8,32,0,25,3,2010
3,2,2,361,52,3,28,1,27,8,2010
3,3,2,179,51,18,38,0,31,8,2010
3,4,2,179,51,18,38,0,31,2,2010
3,5,2,179,51,18,38,0,31,3,2010
3,6,2,179,26,9,30,0,19,2,2010
3,2,2,179,51,18,38,0,31,4,2010
3,2,2,248,25,14,47,2,32,2,2010
3,2,2,179,51,18,38,0,31,3,2010
3,2,2,225,26,9,28,1,24,8,2010
3,3,2,179,51,18,38,0,31,2,2010
3,4,2,289,36,13,33,2,30,8,2010
3,4,2,228,14,16,58,2,22,2,2010
3,4,2,179,51,18,38,0,31,2,2010
3,5,2,248,25,14,47,2,32,3,2010
3,5,2,179,51,18,38,0,31,3,2010
3,6,2,179,26,9,30,0,19,2,2010
3,6,2,179,51,18,38,0,31,3,2010
3,3,3,179,51,18,38,0,31,3,2010
3,4,3,118,15,24,46,2,25,8,2010
3,4,3,155,12,14,34,2,25,24,2010
3,4,3,179,51,18,38,0,31,3,2010
3,5,3,179,51,18,38,0,31,3,2010
3,2,3,179,26,9,30,0,19,2,2010
3,2,3,289,36,13,33,2,30,104,2010
3,4,3,369,17,12,31,3,25,8,2010
4,2,3,225,26,9,28,1,24,8,2010
4,2,3,118,10,10,37,0,28,8,2010
4,3,3,361,52,3,28,1,27,8,2010
4,4,3,248,25,14,47,2,32,8,2010
4,5,3,189,29,13,33,2,25,8,2010
4,6,3,179,26,9,30,0,19,2,2010
4,2,3,369,17,12,31,3,25,24,2010
4,3,3,179,22,17,40,2,22,2,2010
4,3,3,118,13,18,50,1,31,3,2010
4,3,3,361,52,3,28,1,27,2,2010
4,4,3,118,10,10,37,0,28,2,2010
4,6,3,235,11,14,37,1,29,8,2010
4,6,3,179,26,9,30,0,19,2,2010
4,2,3,225,26,9,28,1,24,8,2010
4,3,3,235,16,8,32,0,25,3,2010
4,6,3,179,26,9,30,0,19,2,2010
4,3,3,155,12,14,34,2,25,4,2010
4,5,3,225,26,9,28,1,24,8,2010
4,5,3,118,13,18,50,1,31,2,2010
4,6,3,179,26,9,30,0,19,2,2010
5,2,3,235,11,14,37,1,29,8,2010
5,4,3,225,15,15,41,2,28,3,2010
5,4,3,235,16,8,32,0,25,2,2010
5,4,3,118,10,10,37,0,28,3,2010
5,4,3,235,20,13,43,1,38,8,2010
5,5,3,179,26,9,30,0,19,1,2010
5,5,3,291,31,12,40,1,25,2,2010
5,5,3,225,15,15,41,2,28,8,2010
5,6,3,300,26,13,43,2,25,64,2010
5,6,3,225,15,15,41,2,28,8,2010
5,6,3,179,26,9,30,0,19,2,2010
5,2,3,118,13,18,50,1,31,2,2010
5,3,3,118,13,18,50,1,31,3,2010
5,3,3,118,10,10,37,0,28,1,2010
5,3,3,118,13,18,50,1,31,0,2010
5,4,3,179,26,9,30,0,19,2,2010
5,4,3,378,49,11,36,2,21,0,2010
5,6,3,179,22,17,40,2,22,1,2010
5,2,3,155,12,14,34,2,25,48,2010
5,2,3,235,16,8,32,0,25,8,2010
5,4,3,291,31,12,40,1,25,8,2010
5,4,3,179,22,17,40,2,22,8,2010
5,4,3,225,26,9,28,1,24,3,2010
5,5,3,330,16,4,28,0,25,8,2010
5,5,3,235,16,8,32,0,25,2,2010
5,5,3,291,31,12,40,1,25,2,2010
5,6,3,179,26,9,30,0,19,2,2010
5,2,3,361,52,3,28,1,27,8,2010
5,4,3,155,12,14,34,2,25,2,2010
5,6,3,179,22,17,40,2,22,8,2010
5,6,3,155,12,14,34,2,25,8,2010
5,2,3,225,26,9,28,1,24,1,2010
6,4,3,118,15,24,46,2,25,8,2010
6,4,3,179,26,9,30,0,19,3,2010
6,6,3,118,10,10,37,0,28,8,2010
6,4,3,118,10,10,37,0,28,8,2010
6,5,3,378,49,11,36,2,21,8,2010
6,5,3,118,13,18,50,1,31,24,2010
6,6,3,233,51,1,31,1,21,8,2010
6,6,3,179,26,9,30,0,19,2,2010
6,2,3,235,29,12,48,1,33,0,2010
6,2,3,268,11,8,33,0,25,0,2010
6,5,3,118,13,18,50,1,31,3,2010
6,5,3,179,26,9,30,0,19,2,2010
6,5,3,291,31,12,40,1,25,2,2010
6,2,1,179,26,9,30,0,19,3,2010
6,2,1,118,10,10,37,0,28,3,2010
6,5,1,233,51,1,31,1,21,8,2010
6,6,1,118,10,10,37,0,28,2,2010
6,4,1,118,10,10,37,0,28,3,2010
6,4,1,233,51,1,31,1,21,3,2010
7,4,1,235,20,13,43,1,38,4,2010
7,6,1,233,51,1,31,1,21,2,2010
7,2,1,228,14,16,58,2,22,8,2010
7,2,1,118,10,10,37,0,28,4,2010
7,3,1,228,14,16,58,2,22,120,2010
7,3,1,189,29,13,33,2,25,16,2010
7,4,1,118,10,10,37,0,28,2,2010
7,4,1,361,52,3,28,1,27,8,2010
7,4,1,225,26,9,28,1,24,8,2010
7,2,1,369,17,12,31,3,25,80,2010
7,3,1,289,36,13,33,2,30,8,2010
7,3,1,235,11,14,37,1,29,4,2010
